n,comps_QS,swaps_QS,comps_MS,swaps_MS,comps_HS,swaps_HS
100,411,168,545,1344,1048,588
200,1092,359,1287,3088,2454,1354
300,1568,588,2108,4976,4036,2221
400,2597,830,2965,6976,5712,3114
500,3210,1080,3865,8976,7430,4040
600,3993,1315,4780,11152,9240,5024
700,4206,1652,5731,13352,11126,6015
800,6078,1862,6729,15552,13022,7021
900,6156,2132,7711,17752,14918,8037
1000,7858,2392,8714,19952,16854,9084
1100,8387,2684,9735,22304,18900,10157
1200,8650,2993,10755,24704,20912,11238
1300,10568,3205,11851,27104,22940,12290
1400,10059,3549,12947,29504,25082,13439
1500,12159,3769,13992,31904,27104,14521
1600,11951,4121,15018,34304,29248,15658
1700,16058,4239,16091,36704,31344,16780
1800,16810,4599,17217,39104,33474,17897
1900,16546,4997,18318,41504,35670,19090
2000,17609,5268,19398,43904,37684,20107
2100,17650,5624,20520,46408,39892,21323
2200,18388,5892,21703,49008,42126,22448
2300,19724,6133,22793,51608,44392,23685
2400,22244,6376,23889,54208,46636,24873
2500,20114,6773,25176,56808,48834,26042
2600,22117,7056,26318,59408,51160,27260
2700,24758,7324,27441,62008,53302,28369
2800,23392,7746,28585,64608,55724,29696
2900,25879,8013,29742,67208,57994,30845
3000,23774,8397,30915,69808,60220,32092
3100,31137,8548,32097,72408,62614,33331
3200,29549,8923,33249,75008,64860,34481
3300,31894,9177,34465,77608,67144,35721
3400,30696,9595,35655,80208,69516,36985
3500,34235,9748,36837,82808,71804,38196
3600,33931,10074,38029,85408,73944,39262
3700,33894,10541,39219,88008,76414,40586
3800,35400,10838,40337,90608,78790,41876
3900,34926,11149,41625,93208,81132,43106
4000,38426,11515,42825,95808,83540,44381
4100,38375,11773,44037,98416,85706,45530
4200,38140,12188,45290,101216,88180,46788
4300,38553,12515,46574,104016,90644,48101
4400,40631,12818,47721,106816,92974,49268
4500,43420,13071,48930,109616,95554,50731
4600,45424,13424,50235,112416,97898,51951
4700,44040,13776,51384,115216,100306,53295
4800,47665,14094,52680,118016,102776,54433
4900,47249,14378,54018,120816,105162,55799
5000,53662,14661,55265,123616,107514,57018
5100,52410,14982,56488,126416,110216,58454
5200,48790,15627,57744,129216,112758,59780
5300,57257,15527,58996,132016,115136,61005
5400,54047,16019,60303,134816,117436,62143
5500,53802,16384,61488,137616,120082,63635
5600,59599,16744,62848,140416,122506,64917
5700,53691,17150,64036,143216,124932,66156
5800,61345,17250,65270,146016,127472,67536
5900,58665,17722,66563,148816,130040,68842
6000,58382,18129,67875,151616,132546,70209
6100,57508,18578,69061,154416,134956,71433
6200,66093,18773,70407,157216,137508,72761
6300,59745,19205,71588,160016,140164,74178
6400,60976,19559,72884,162816,142400,75363
6500,72549,19580,74218,165616,144984,76709
6600,74564,19754,75610,168416,147524,77989
6700,69655,20375,76747,171216,150026,79412
6800,72414,20774,78139,174016,152564,80706
6900,69927,21045,79281,176816,154818,81881
7000,81317,21453,80615,179616,157588,83392
7100,75329,21729,81956,182416,160184,84686
7200,84547,21910,83306,185216,162672,85974
7300,78426,22396,84618,188016,165102,87196
7400,77544,22916,85794,190816,167678,88576
7500,84157,23185,87111,193616,170212,89968
7600,77896,23606,88482,196416,172676,91250
7700,81787,23846,89720,199216,175160,92574
7800,79022,24347,91041,202016,177838,93985
7900,80409,24704,92254,204816,180280,95306
8000,93425,24911,93725,207616,182882,96636
8100,81890,25399,94917,210416,185348,97985
8200,83974,25511,96196,213232,187910,99258
8300,92723,25824,97554,216232,190600,100682
8400,98560,26101,98943,219232,193174,102052
8500,88658,26679,100252,222232,195788,103412
8600,97253,26766,101710,225232,198290,104675
8700,94751,27463,103030,228232,201064,106212
8800,98358,27829,104376,231232,203560,107503
8900,102722,27937,105724,234232,206222,108934
9000,97805,28476,106998,237232,208896,110217
9100,105470,28621,108387,240232,211466,111652
9200,96656,29208,109626,243232,214086,112999
9300,103599,29443,110971,246232,216744,114457
9400,106513,29776,112400,249232,219654,115930
9500,115985,29598,113777,252232,222232,117339
9600,111786,30634,115133,255232,224884,118661
9700,103962,31050,116343,258232,227498,120136
9800,121140,30739,117672,261232,230078,121385
9900,116682,31217,119114,264232,232812,122886
10000,118955,31813,120402,267232,235334,124202
10100,111238,32331,121817,270232,237802,125390
10200,122822,32483,123039,273232,240660,126980
10300,111947,33049,124417,276232,243274,128291
10400,107061,33861,125949,279232,246038,129788
10500,112741,33938,127236,282232,248728,131256
10600,116009,34101,128626,285232,251398,132549
10700,111778,34954,129795,288232,253928,133907
10800,132079,34797,131338,291232,256816,135449
10900,132728,34752,132731,294232,259378,136752
11000,121757,35562,133936,297232,261932,138138
11100,124979,35799,135362,300232,264870,139666
11200,136552,35665,136712,303232,267636,141073
11300,138176,36379,137981,306232,270268,142483
11400,148180,36672,139417,309232,272910,143897
11500,146120,37228,140808,312232,275456,145141
11600,151402,37133,142207,315232,278094,146593
11700,140474,37718,143551,318232,280844,148018
11800,133432,38441,144892,321232,283530,149433
11900,148295,38027,146251,324232,286138,150753
12000,142567,39015,147758,327232,288878,152141
12100,159730,38752,148998,330232,291760,153723
12200,143803,39682,150427,333232,294328,155002
12300,138476,40330,151792,336232,297038,156451
12400,150169,40456,153154,339232,299716,157882
12500,139017,41138,154626,342232,302684,159538
12600,146263,41228,155948,345232,305108,160640
12700,158544,41171,157392,348232,307824,162073
12800,147424,42123,158680,351232,310470,163558
12900,151880,42253,160124,354232,313440,165075
13000,159321,42392,161424,357232,315986,166511
13100,163518,42757,162878,360232,318684,167801
13200,156419,43443,164148,363232,321398,169266
13300,165029,43243,165614,366232,323990,170594
13400,162317,43815,166971,369232,326886,172217
13500,163653,44265,168475,372232,329398,173477
13600,165433,45062,169777,375232,332354,175035
13700,158327,45215,171177,378232,334996,176408
13800,159552,45663,172619,381232,337538,177729
13900,198285,45008,174057,384232,340312,179185
14000,171848,46269,175270,387232,343174,180795
14100,164729,46842,176754,390232,345800,182009
14200,163041,47265,178192,393232,348650,183610
14300,182006,46898,179408,396232,351250,184832
14400,175566,47573,181007,399232,353918,186243
14500,181121,48195,182210,402232,356828,187784
14600,177773,48377,183768,405232,359474,189255
14700,180607,48555,185173,408232,362056,190617
14800,191685,48686,186454,411232,364724,191858
14900,188513,48953,187873,414232,367644,193404
15000,192576,49239,189401,417232,370492,195124
15100,193664,50061,190806,420232,373060,196333
15200,195501,50220,192161,423232,375688,197724
15300,190905,50727,193441,426232,378438,199178
15400,205792,50462,195011,429232,381408,200724
15500,194168,51448,196448,432232,384026,202058
15600,191807,52105,197608,435232,386656,203495
15700,201211,52035,199150,438232,389470,204959
15800,203417,52442,200655,441232,392208,206322
15900,208811,52687,201867,444232,394770,207636
16000,204031,53523,203336,447232,397548,209277
16100,208215,53556,204817,450232,400364,210580
16200,220349,53210,206090,453232,403012,212031
16300,209430,54502,207511,456232,406006,213568
16400,224997,54010,208939,459264,408568,215013
16500,210845,55080,210419,462464,411448,216412
16600,210299,55456,211837,465664,414310,217921
16700,223776,55290,213187,468864,416930,219198
16800,221220,55827,214633,472064,420110,221095
16900,219436,56190,216051,475264,422746,222304
17000,225868,57122,217501,478464,425498,223672
17100,216486,57411,219028,481664,428292,225130
17200,227980,57499,220452,484864,431026,226710
17300,233155,57683,221810,488064,434168,228286
17400,247648,57454,223340,491264,436838,229790
17500,218840,58939,224762,494464,439620,231091
17600,261303,57805,226188,497664,442590,232652
17700,239291,59250,227778,500864,445288,234182
17800,244334,59390,228978,504064,448028,235528
17900,236047,59878,230449,507264,450960,237072
18000,244274,60522,231979,510464,453770,238526
18100,248712,60308,233226,513664,456600,239976
18200,284953,60038,234845,516864,459310,241409
18300,262546,60874,236184,520064,462388,243121
18400,237951,62319,237617,523264,464918,244361
18500,258547,61778,239268,526464,467928,245928
